"Homeownership rate"
"By county, Minnesota, 1990-2021"
""
"","1990","2000","2007-2011","2012-2016","2017-2021"
"Total number of occupied households","190,500","201,236","204,342","207,327","215,740"
"Total number of occupied households, Margin of Error","","","+/- 1,084","+/- 849","+/- 897"
"Red Lake"
"Homeownership rate","78.8%","80.1%","82.3%","80.5%","82.0%"
"Homeownership rate, Margin of Error","","","+/- 1.2%","+/- 3.0%","+/- 2.1%"
"Total number of owner households","1,363","1,383","1,414","1,350","1,355"
"Total number of owner households, Margin of Error","","","+/- 53","+/- 71","+/- 54"
"Total number of occupied households","1,730","1,727","1,718","1,676","1,652"
"Total number of occupied households, Margin of Error","","","+/- 59","+/- 62","+/- 50"
"Redwood"
"Homeownership rate","77.1%","79.8%","78.0%","79.3%","78.1%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 1.2%","+/- 1.1%"
"Total number of owner households","5,055","5,328","5,143","4,965","4,793"
"Total number of owner households, Margin of Error","","","+/- 160","+/- 128","+/- 130"
"Total number of occupied households","6,554","6,674","6,594","6,262","6,140"
"Total number of occupied households, Margin of Error","","","+/- 158","+/- 132","+/- 144"
"Renville"
"Homeownership rate","79.2%","80.9%","78.8%","79.2%","79.3%"
"Homeownership rate, Margin of Error","","","+/- 1.0%","+/- 2.0%","+/- 1.5%"
"Total number of owner households","5,378","5,487","5,116","4,901","4,647"
"Total number of owner households, Margin of Error","","","+/- 123","+/- 181","+/- 138"
"Total number of occupied households","6,790","6,779","6,491","6,188","5,861"
"Total number of occupied households, Margin of Error","","","+/- 130","+/- 164","+/- 133"
"Rice"
"Homeownership rate","75.5%","77.9%","77.2%","74.1%","74.9%"
"Homeownership rate, Margin of Error","","","+/- 0.5%","+/- 1.4%","+/- 1.5%"
"Total number of owner households","12,338","14,710","17,078","16,795","17,288"
"Total number of owner households, Margin of Error","","","+/- 514","+/- 415","+/- 456"
"Total number of occupied households","16,347","18,888","22,117","22,654","23,078"
"Total number of occupied households, Margin of Error","","","+/- 650","+/- 355","+/- 394"
"Rock"
"Homeownership rate","75.3%","77.9%","76.1%","74.1%","77.6%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 2.9%","+/- 2.2%"
"Total number of owner households","2,826","2,994","2,998","2,912","3,044"
"Total number of owner households, Margin of Error","","","+/- 118","+/- 139","+/- 122"
"Total number of occupied households","3,754","3,843","3,942","3,932","3,921"
"Total number of occupied households, Margin of Error","","","+/- 134","+/- 111","+/- 112"
"Roseau"
"Homeownership rate","82.6%","83.8%","79.7%","79.5%","80.3%"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.5%","+/- 3.4%"
"Total number of owner households","4,472","5,188","5,069","4,856","4,568"
"Total number of owner households, Margin of Error","","","+/- 149","+/- 132","+/- 134"
"Total number of occupied households","5,415","6,190","6,357","6,106","5,689"
"Total number of occupied households, Margin of Error","","","+/- 176","+/- 117","+/- 172"
"Scott"
"Homeownership rate","81.9%","86.5%","85.8%","82.9%","83.2%"
"Homeownership rate, Margin of Error","","","+/- 0.9%","+/- 1.1%","+/- 1.3%"
"Total number of owner households","15,857","26,535","38,274","39,103","43,519"
"Total number of owner households, Margin of Error","","","+/- 535","+/- 601","+/- 760"
"Total number of occupied households","19,367","30,692","44,593","47,154","52,310"
"Total number of occupied households, Margin of Error","","","+/- 390","+/- 383","+/- 366"
"Sherburne"
"Homeownership rate","80.5%","84.1%","82.6%","82.7%","84.3%"
"Homeownership rate, Margin of Error","","","+/- 1.1%","+/- 1.3%","+/- 1.5%"
"Total number of owner households","10,977","18,151","24,441","25,454","28,500"
"Total number of owner households, Margin of Error","","","+/- 468","+/- 553","+/- 605"
"Total number of occupied households","13,643","21,581","29,572","30,781","33,825"
"Total number of occupied households, Margin of Error","","","+/- 423","+/- 446","+/- 380"
"Sibley"
"Homeownership rate","81.5%","80.9%","80.7%","78.2%","79.8%"
"Homeownership rate, Margin of Error","","","+/- 2.2%","+/- 1.7%","+/- 2.4%"
"Total number of owner households","4,339","4,672","4,928","4,698","4,682"
"Total number of owner households, Margin of Error","","","+/- 177","+/- 123","+/- 170"
"Total number of occupied households","5,323","5,772","6,103","6,009","5,864"
"Total number of occupied households, Margin of Error","","","+/- 147","+/- 87","+/- 118"
"St. Louis"
"Homeownership rate","74.2%","74.7%","71.4%","70.7%","72.0%"
"Homeownership rate, Margin of Error","","","+/- 0.6%","+/- 0.4%","+/- 0.7%"
"Total number of owner households","58,541","61,683","61,685","60,174","61,569"
"Total number of owner households, Margin of Error","","","+/- 696","+/- 589","+/- 795"
"Total number of occupied households","78,901","82,619","86,446","85,059","85,532"
"Total number of occupied households, Margin of Error","","","+/- 694","+/- 708","+/- 689"
"Stearns"
"Homeownership rate","71.4%","73.8%","72.6%","68.8%","68.4%"
"Homeownership rate, Margin of Error","","","+/- 0.4%","+/- 0.8%","+/- 1.0%"
"Total number of owner households","28,418","35,124","41,005","39,719","41,102"
"Total number of owner households, Margin of Error","","","+/- 576","+/- 613","+/- 707"
"Total number of occupied households","39,776","47,604","56,469","57,695","60,098"
"Total number of occupied households, Margin of Error","","","+/- 725","+/- 536","+/- 490"
"Steele"
"Homeownership rate","77.1%","80.1%","78.0%","76.0%","77.0%"
"Homeownership rate, Margin of Error","","","+/- 1.5%","+/- 1.3%","+/- 1.7%"
"Total number of owner households","8,746","10,296","10,968","10,916","11,488"
"Total number of owner households, Margin of Error","","","+/- 314","+/- 252","+/- 290"
"Total number of occupied households","11,342","12,846","14,053","14,354","14,911"
"Total number of occupied households, Margin of Error","","","+/- 292","+/- 229","+/- 182"
"Stevens"
"Homeownership rate","67.2%","70.4%","70.1%","67.6%","68.1%"
"Homeownership rate, Margin of Error","","","+/- 1.8%","+/- 2.1%","+/- 2.9%"
"Total number of owner households","2,569","2,640","2,620","2,411","2,565"
"Total number of owner households, Margin of Error","","","+/- 123","+/- 112","+/- 143"
"Total number of occupied households","3,823","3,751","3,739","3,567","3,764"
"Total number of occupied households, Margin of Error","","","+/- 147","+/- 122","+/- 138"
"Swift"
"Homeownership rate","77.5%","77.0%","73.4%","70.9%","72.7%"
"Homeownership rate, Margin of Error","","","+/- 10.0%","+/- 2.6%","+/- 2.7%"
"Total number of owner households","3,306","3,353","3,075","2,963","3,066"
"Total number of owner households, Margin of Error","","","+/- 276","+/- 140","+/- 139"
"Total number of occupied households","4,268","4,353","4,192","4,177","4,215"
"Total number of occupied households, Margin of Error","","","+/- 433","+/- 121","+/- 110"
"Todd"
"Homeownership rate","80.8%","83.2%","82.6%","81.5%","83.1%"
"Homeownership rate, Margin of Error","","","+/- 1.1%","+/- 0.8%","+/- 1.4%"
"Total number of owner households","6,944","7,775","8,253","8,043","7,968"
"Total number of owner households, Margin of Error","","","+/- 218","+/- 179","+/- 210"
"Total number of occupied households","8,589","9,342","9,994","9,866","9,590"
"Total number of occupied households, Margin of Error","","","+/- 226","+/- 194","+/- 194"
"Traverse"
"Homeownership rate","79.0%","80.5%","80.8%","82.1%","79.4%"
"Homeownership rate, Margin of Error","","","+/- 4.9%","+/- 2.9%","+/- 3.4%"
"Total number of owner households","1,405","1,383","1,296","1,267","1,130"
"Total number of owner households, Margin of Error","","","+/- 55","+/- 72","+/- 68"
"Total number of occupied households","1,778","1,717","1,604","1,544","1,424"
"Total number of occupied households, Margin of Error","","","+/- 70","+/- 68","+/- 60"
"Wabasha"
"Homeownership rate","81.7%","82.4%","83.5%","80.3%","81.4%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 1.3%","+/- 1.5%"
"Total number of owner households","5,954","6,821","7,307","7,232","7,363"
"Total number of owner households, Margin of Error","","","+/- 209","+/- 178","+/- 209"
"Total number of occupied households","7,286","8,277","8,751","9,004","9,047"
"Total number of occupied households, Margin of Error","","","+/- 173","+/- 170","+/- 197"
"Wadena"
"Homeownership rate","76.4%","77.6%","75.2%","75.2%","73.7%"
"Homeownership rate, Margin of Error","","","+/- 1.8%","+/- 2.6%","+/- 2.5%"
"Total number of owner households","3,804","4,212","4,489","4,254","4,114"
"Total number of owner households, Margin of Error","","","+/- 160","+/- 193","+/- 197"
"Total number of occupied households","4,978","5,426","5,968","5,657","5,582"
"Total number of occupied households, Margin of Error","","","+/- 156","+/- 162","+/- 192"
"Waseca"
"Homeownership rate","77.3%","80.1%","80.6%","76.3%","80.1%"
"Homeownership rate, Margin of Error","","","+/- 2.2%","+/- 2.0%","+/- 2.0%"
"Total number of owner households","5,138","5,654","5,886","5,595","6,034"
"Total number of owner households, Margin of Error","","","+/- 223","+/- 188","+/- 178"
"Total number of occupied households","6,649","7,059","7,303","7,329","7,533"
"Total number of occupied households, Margin of Error","","","+/- 192","+/- 150","+/- 124"
"Washington"
"Homeownership rate","83.9%","85.8%","83.0%","80.4%","81.8%"
"Homeownership rate, Margin of Error","","","+/- 0.7%","+/- 0.8%","+/- 0.9%"
"Total number of owner households","41,307","61,336","72,590","73,415","80,710"
"Total number of owner households, Margin of Error","","","+/- 773","+/- 849","+/- 1,026"
"Total number of occupied households","49,246","71,462","87,446","91,282","98,647"
"Total number of occupied households, Margin of Error","","","+/- 557","+/- 613","+/- 634"
"Watonwan"
"Homeownership rate","74.8%","77.1%","79.4%","73.8%","78.5%"
"Homeownership rate, Margin of Error","","","+/- 2.8%","+/- 2.9%","+/- 3.3%"
"Total number of owner households","3,387","3,566","3,489","3,295","3,353"
"Total number of owner households, Margin of Error","","","+/- 158","+/- 153","+/- 165"
"Total number of occupied households","4,530","4,627","4,396","4,465","4,272"
"Total number of occupied households, Margin of Error","","","+/- 125","+/- 112","+/- 107"
"Wilkin"
"Homeownership rate","77.6%","80.8%","82.7%","76.7%","78.3%"
"Homeownership rate, Margin of Error","","","+/- 2.4%","+/- 2.7%","+/- 3.1%"
"Total number of owner households","2,178","2,223","2,199","2,202","2,098"
"Total number of owner households, Margin of Error","","","+/- 115","+/- 96","+/- 121"
"Total number of occupied households","2,805","2,752","2,658","2,871","2,680"
"Total number of occupied households, Margin of Error","","","+/- 115","+/- 74","+/- 112"
"Winona"
"Homeownership rate","72.1%","70.8%","71.0%","70.4%","69.6%"
"Homeownership rate, Margin of Error","","","+/- 1.0%","+/- 1.0%","+/- 1.3%"
"Total number of owner households","12,205","13,280","13,703","13,440","13,987"
"Total number of owner households, Margin of Error","","","+/- 329","+/- 323","+/- 365"
"Total number of occupied households","16,930","18,744","19,292","19,078","20,109"
"Total number of occupied households, Margin of Error","","","+/- 366","+/- 379","+/- 360"
"Wright"
"Homeownership rate","82.0%","84.4%","84.9%","81.8%","83.0%"
"Homeownership rate, Margin of Error","","","+/- 0.8%","+/- 1.1%","+/- 1.3%"
"Total number of owner households","18,866","26,560","37,933","37,520","41,761"
"Total number of owner households, Margin of Error","","","+/- 477","+/- 601","+/- 731"
"Total number of occupied households","23,013","31,465","44,683","45,887","50,290"
"Total number of occupied households, Margin of Error","","","+/- 390","+/- 366","+/- 405"
"Yellow Medicine"
"Homeownership rate","77.9%","79.5%","79.0%","78.3%","83.6%"
"Homeownership rate, Margin of Error","","","+/- 1.7%","+/- 2.4%","+/- 1.6%"
"Total number of owner households","3,590","3,528","3,286","3,268","3,293"
"Total number of owner households, Margin of Error","","","+/- 109","+/- 127","+/- 114"
"Total number of occupied households","4,607","4,439","4,157","4,174","3,941"
"Total number of occupied households, Margin of Error","","","+/- 107","+/- 97","+/- 115"
"Minnesota"
"Homeownership rate","71.8%","74.6%","73.6%","71.4%","72.3%"
"Homeownership rate, Margin of Error","","","+/- 0.2%","+/- 0.3%","+/- 0.2%"
"Total number of owner households","1,183,673","1,412,865","1,542,370","1,525,611","1,610,801"
"Total number of owner households, Margin of Error","","","+/- 6,690","+/- 7,469","+/- 6,493"
"Total number of occupied households","1,647,853","1,895,127","2,094,265","2,135,310","2,229,100"
"Total number of occupied households, Margin of Error","","","+/- 5,691","+/- 5,896","+/- 4,779"
""
"Notes:"
"ACS five-year estimates are based on data collected over five years, and therefore describe average characteristics for"
"that five-year time period."
""
"Sources:"
"1990 and prior years: U.S. Census Bureau, Decennial Census, retrieved via IPUMS NHGIS, University of Minnesota."
"https://www.nhgis.org/"
""
"U.S. Census Bureau, Decennial Census and American Community Survey. https://data.census.gov/cedsci/"
""
"Data downloaded from https://www.mncompass.org on 03/24/2023."
