"Facility Name","Facility ID","State","Fiscal Year","PSI 90 Composite","PSI 90 Composite Footnote","PSI 90 W Z Score","PSI 90 W Z Footnote","PSI 90 Start Date","PSI 90 End Date","CLABSI SIR","CLABSI SIR Footnote","CLABSI W Z Score","CLABSI W Z Footnote","CAUTI SIR","CAUTI SIR Footnote","CAUTI W Z Score","CAUTI W Z Footnote","SSI SIR","SSI SIR Footnote","SSI W Z Score","SSI W Z Footnote","CDI SIR","CDI SIR Footnote","CDI W Z Score","CDI W Z Footnote","MRSA SIR","MRSA SIR Footnote","MRSA W Z Score","MRSA W Z Footnote","HAI Measures Start Date","HAI Measures End Date","Total HAC Score","Total HAC Footnote","Payment Reduction","Payment Reduction Footnote"
PIEDMONT HOSPITAL,110083,GA,2023,N/A,5,N/A,5,N/A,N/A,0.9260,,N/A,5,0.6490,,N/A,5,1.3540,,N/A,5,0.2000,,N/A,5,0.9390,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WASHINGTON COUNTY REGIONAL MEDICAL CENTER,110086,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHSIDE HOSPITAL GWINNETT,110087,GA,2023,N/A,5,N/A,5,N/A,N/A,0.8270,,N/A,5,1.0600,,N/A,5,0.4740,,N/A,5,0.9810,,N/A,5,0.7600,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"COFFEE REGIONAL MEDICAL CENTER, INC",110089,GA,2023,N/A,5,N/A,5,N/A,N/A,2.0680,,N/A,5,0.3910,,N/A,5,N/A,13,N/A,5,0.7640,,N/A,5,5.5300,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT ROCKDALE HOSPITAL,110091,GA,2023,N/A,5,N/A,5,N/A,N/A,1.3120,,N/A,5,0.0000,,N/A,5,2.5710,,N/A,5,0.2320,,N/A,5,1.7610,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DODGE COUNTY HOSPITAL,110092,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.5610,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TIFT REGIONAL MEDICAL CENTER,110095,GA,2023,N/A,5,N/A,5,N/A,N/A,1.9680,,N/A,5,1.2880,,N/A,5,0.2750,,N/A,5,0.5210,,N/A,5,0.9320,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
JEFFERSON HOSPITAL,110100,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COOK  MEDICAL CENTER  A CAMPUS OF TIFT REG MED CTR,110101,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CRISP REGIONAL HOSPITAL,110104,GA,2023,N/A,5,N/A,5,N/A,N/A,2.4210,,N/A,5,1.7720,,N/A,5,N/A,13,N/A,5,1.1790,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COLQUITT REGIONAL MEDICAL CENTER,110105,GA,2023,N/A,5,N/A,5,N/A,N/A,0.1940,,N/A,5,1.3410,,N/A,5,0.0000,,N/A,5,0.9480,,N/A,5,2.2300,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ATRIUM HEALTH NAVICENT THE MEDICAL CENTER,110107,GA,2023,N/A,5,N/A,5,N/A,N/A,1.5400,,N/A,5,0.5390,,N/A,5,1.3720,,N/A,5,0.5690,,N/A,5,1.3810,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EMANUEL MEDICAL CENTER,110109,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
UNIVERSITY MCDUFFIE COUNTY REGIONAL MEDICAL CENTER,110111,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BURKE MEDICAL CENTER,110113,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WELLSTAR ATLANTA MEDICAL CENTER,110115,GA,2023,N/A,5,N/A,5,N/A,N/A,0.9830,,N/A,5,0.7310,,N/A,5,1.3330,,N/A,5,0.2060,,N/A,5,1.6260,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GRADY GENERAL HOSPITAL,110121,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.9800,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SOUTH GEORGIA MEDICAL CENTER,110122,GA,2023,N/A,5,N/A,5,N/A,N/A,1.5060,,N/A,5,1.0820,,N/A,5,0.0000,,N/A,5,0.4460,,N/A,5,1.1910,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WAYNE MEMORIAL HOSPITAL,110124,GA,2023,N/A,5,N/A,5,N/A,N/A,3.8230,,N/A,5,2.5090,,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FAIRVIEW PARK HOSPITAL,110125,GA,2023,N/A,5,N/A,5,N/A,N/A,0.9580,,N/A,5,0.1890,,N/A,5,0.0000,,N/A,5,0.0240,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MEMORIAL HEALTH MEADOWS HOSPITAL,110128,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,6.1980,,N/A,5,2.1820,,N/A,5,1.0610,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST FRANCIS HOSPITAL- EMORY HEALTHCARE,110129,GA,2023,N/A,5,N/A,5,N/A,N/A,1.3810,,N/A,5,0.2740,,N/A,5,1.1260,,N/A,5,0.3400,,N/A,5,1.3080,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
IRWIN COUNTY HOSPITAL,110130,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MEMORIAL HOSPITAL AND MANOR,110132,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.4340,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TAYLOR REGIONAL HOSPITAL,110135,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,1.0210,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EVANS MEMORIAL HOSPITAL,110142,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WELLSTAR COBB MEDICAL CENTER,110143,GA,2023,N/A,5,N/A,5,N/A,N/A,1.0410,,N/A,5,0.4350,,N/A,5,0.9500,,N/A,5,0.3080,,N/A,5,1.1430,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SOUTHEAST GEORGIA HEALTH SYSTEM -- CAMDEN CAMPUS,110146,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NAVICENT HEALTH BALDWIN,110150,GA,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,1.0260,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PERRY HOSPITAL,110153,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,2.8300,,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHSIDE HOSPITAL,110161,GA,2023,N/A,5,N/A,5,N/A,N/A,0.4530,,N/A,5,0.7080,,N/A,5,0.7590,,N/A,5,0.4310,,N/A,5,1.0590,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"COLISEUM MEDICAL CENTERS, LLC, DBA",110164,GA,2023,N/A,5,N/A,5,N/A,N/A,0.6140,,N/A,5,0.2010,,N/A,5,0.7000,,N/A,5,0.2890,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SOUTHERN REGIONAL MEDICAL CENTER,110165,GA,2023,N/A,5,N/A,5,N/A,N/A,0.9190,,N/A,5,0.0000,,N/A,5,0.7540,,N/A,5,0.2300,,N/A,5,0.8480,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ADVENTHEALTH REDMOND,110168,GA,2023,N/A,5,N/A,5,N/A,N/A,0.5680,,N/A,5,0.4390,,N/A,5,0.4300,,N/A,5,0.3170,,N/A,5,1.8460,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DOCTORS HOSPITAL,110177,GA,2023,N/A,5,N/A,5,N/A,N/A,0.2500,,N/A,5,0.1850,,N/A,5,0.3390,,N/A,5,0.1190,,N/A,5,0.5170,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WELLSTAR DOUGLAS HOSPITAL,110184,GA,2023,N/A,5,N/A,5,N/A,N/A,1.9290,,N/A,5,0.6720,,N/A,5,1.7260,,N/A,5,0.0000,,N/A,5,1.3050,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FANNIN REGIONAL HOSPITAL,110189,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,2.5270,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
FLINT RIVER COMMUNITY HOSPITAL,110190,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT HENRY HOSPITAL,110191,GA,2023,N/A,5,N/A,5,N/A,N/A,0.8980,,N/A,5,0.5760,,N/A,5,0.7860,,N/A,5,0.1910,,N/A,5,1.9030,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EASTSIDE MEDICAL CENTER,110192,GA,2023,N/A,5,N/A,5,N/A,N/A,1.8330,,N/A,5,0.3230,,N/A,5,1.3730,,N/A,5,0.2560,,N/A,5,2.2810,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
DONALSONVILLE HOSPITAL INC,110194,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.8470,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WELLSTAR NORTH FULTON HOSPITAL,110198,GA,2023,N/A,5,N/A,5,N/A,N/A,0.8050,,N/A,5,0.3930,,N/A,5,1.5110,,N/A,5,0.1290,,N/A,5,0.7470,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT COLUMBUS REGIONAL NORTHSIDE,110200,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.8320,,N/A,5,0.3170,,N/A,5,0.4420,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT MACON NORTH HOSPITAL,110201,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TURNING POINT HOSPITAL,110209,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT FAYETTE HOSPITAL,110215,GA,2023,N/A,5,N/A,5,N/A,N/A,0.8280,,N/A,5,0.5690,,N/A,5,1.1750,,N/A,5,0.1010,,N/A,5,1.5760,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PIEDMONT MOUNTAINSIDE HOSPITAL INC,110225,GA,2023,N/A,5,N/A,5,N/A,N/A,0.9020,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,0.3300,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EMORY HILLANDALE HOSPITAL,110226,GA,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.5210,,N/A,5,N/A,13,N/A,5,0.6320,,N/A,5,0.6280,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"PIEDMONT NEWNAN HOSPITAL, INC",110229,GA,2023,N/A,5,N/A,5,N/A,N/A,1.0330,,N/A,5,0.3600,,N/A,5,0.8030,,N/A,5,0.1250,,N/A,5,1.5740,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EMORY JOHNS CREEK HOSPITAL,110230,GA,2023,N/A,5,N/A,5,N/A,N/A,1.8730,,N/A,5,1.9160,,N/A,5,0.6000,,N/A,5,0.1710,,N/A,5,1.6900,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SOUTHEASTERN REGIONAL MEDICAL CENTER,110233,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,0.2700,,N/A,5,0.2500,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SGMC BERRIEN CAMPUS,110234,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
CHI MEMORIAL HOSPITAL- GEORGIA,110236,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHEAST GEORGIA MEDICAL CENTER LUMPKIN,110237,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,2.0720,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHSIDE HOSPITAL DULUTH,110252,GA,2023,N/A,5,N/A,5,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
THE QUEENS MEDICAL CENTER,120001,HI,2023,N/A,5,N/A,5,N/A,N/A,0.5620,,N/A,5,0.9360,,N/A,5,0.5840,,N/A,5,0.5500,,N/A,5,0.7520,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MAUI MEMORIAL MEDICAL CENTER,120002,HI,2023,N/A,5,N/A,5,N/A,N/A,0.8570,,N/A,5,0.7320,,N/A,5,0.8300,,N/A,5,0.3800,,N/A,5,0.3830,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WAHIAWA GENERAL HOSPITAL,120004,HI,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,12,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HILO MEDICAL CENTER,120005,HI,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.0000,,N/A,5,1.1150,,N/A,5,0.3480,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ADVENTIST HEALTH CASTLE,120006,HI,2023,N/A,5,N/A,5,N/A,N/A,0.6260,,N/A,5,0.9830,,N/A,5,0.9730,,N/A,5,0.0840,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KUAKINI MEDICAL CENTER,120007,HI,2023,N/A,5,N/A,5,N/A,N/A,0.3600,,N/A,5,0.8640,,N/A,5,0.8840,,N/A,5,0.2810,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KAISER FOUNDATION HOSPITAL,120011,HI,2023,N/A,5,N/A,5,N/A,N/A,0.8440,,N/A,5,1.5550,,N/A,5,0.4660,,N/A,5,1.3890,,N/A,5,0.4540,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WILCOX MEMORIAL HOSPITAL,120014,HI,2023,N/A,5,N/A,5,N/A,N/A,0.7340,,N/A,5,1.6910,,N/A,5,1.0780,,N/A,5,0.5850,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KONA COMMUNITY HOSPITAL,120019,HI,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,2.2790,,N/A,5,N/A,13,N/A,5,0.2650,,N/A,5,0.6270,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
STRAUB CLINIC AND HOSPITAL,120022,HI,2023,N/A,5,N/A,5,N/A,N/A,0.2770,,N/A,5,0.5880,,N/A,5,1.3920,,N/A,5,0.6450,,N/A,5,0.8440,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PALI MOMI MEDICAL CENTER,120026,HI,2023,N/A,5,N/A,5,N/A,N/A,0.5390,,N/A,5,0.0000,,N/A,5,1.9720,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"NORTH HAWAII COMMUNITY HOSPITAL, INC",120028,HI,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST LUKES MAGIC VALLEY MEDICAL CENTER,130002,ID,2023,N/A,5,N/A,5,N/A,N/A,0.2040,,N/A,5,0.5790,,N/A,5,0.4050,,N/A,5,0.3410,,N/A,5,0.4070,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST JOSEPH REGIONAL MEDICAL CENTER,130003,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.5960,,N/A,5,1.7210,,N/A,5,0.6440,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST LUKE'S REGIONAL MEDICAL CENTER,130006,ID,2023,N/A,5,N/A,5,N/A,N/A,0.8180,,N/A,5,0.9990,,N/A,5,0.6670,,N/A,5,0.6860,,N/A,5,0.8350,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SAINT ALPHONSUS REGIONAL MEDICAL CENTER,130007,ID,2023,N/A,5,N/A,5,N/A,N/A,1.4470,,N/A,5,0.3450,,N/A,5,0.7370,,N/A,5,0.5970,,N/A,5,1.2600,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SAINT ALPHONSUS MEDICAL CENTER - NAMPA,130013,ID,2023,N/A,5,N/A,5,N/A,N/A,2.0620,,N/A,5,0.8050,,N/A,5,0.0000,,N/A,5,0.5490,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
WEST VALLEY MEDICAL CENTER,130014,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
EASTERN IDAHO REGIONAL MEDICAL CENTER,130018,ID,2023,N/A,5,N/A,5,N/A,N/A,0.9920,,N/A,5,0.7310,,N/A,5,1.5310,,N/A,5,0.4040,,N/A,5,1.7720,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MADISON MEMORIAL HOSPITAL,130025,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.5470,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PORTNEUF MEDICAL CENTER,130028,ID,2023,N/A,5,N/A,5,N/A,N/A,0.4810,,N/A,5,2.0550,,N/A,5,0.3070,,N/A,5,0.3980,,N/A,5,2.1670,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KOOTENAI HEALTH,130049,ID,2023,N/A,5,N/A,5,N/A,N/A,0.4020,,N/A,5,0.3050,,N/A,5,0.4220,,N/A,5,0.3820,,N/A,5,0.6810,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
TREASURE VALLEY HOSPITAL,130063,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MOUNTAIN VIEW HOSPITAL,130065,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,1.2740,,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHWEST SPECIALTY HOSPITAL,130066,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,1.6980,,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST LUKE'S NAMPA MEDICAL CENTER,130071,ID,2023,N/A,5,N/A,5,N/A,N/A,0.5410,,N/A,5,2.1900,,N/A,5,N/A,13,N/A,5,0.5930,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GROVE CREEK MEDICAL CENTER,130073,ID,2023,N/A,5,N/A,5,N/A,N/A,N/A,12,N/A,5,N/A,12,N/A,5,N/A,12,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
"IDAHO FALLS COMMUNITY HOSPITAL, LLC",130074,ID,2023,N/A,5,N/A,5,N/A,N/A,4.2490,,N/A,5,2.8720,,N/A,5,N/A,13,N/A,5,0.8010,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
GRAHAM HOSPITAL ASSOCIATION,140001,IL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,1.0330,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ALTON MEMORIAL HOSPITAL,140002,IL,2023,N/A,5,N/A,5,N/A,N/A,0.3120,,N/A,5,0.0000,,N/A,5,0.0000,,N/A,5,1.3350,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PRESENCE SAINT JOSEPH MEDICAL CENTER,140007,IL,2023,N/A,5,N/A,5,N/A,N/A,1.0010,,N/A,5,0.4800,,N/A,5,0.6450,,N/A,5,0.1610,,N/A,5,0.2800,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,140008,IL,2023,N/A,5,N/A,5,N/A,N/A,0.6520,,N/A,5,1.5200,,N/A,5,0.0000,,N/A,5,0.4380,,N/A,5,0.5450,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
NORTHSHORE UNIVERSITY HEALTHSYSTEM - EVANSTON HOSPITAL,140010,IL,2023,N/A,5,N/A,5,N/A,N/A,0.1660,,N/A,5,0.4470,,N/A,5,0.3760,,N/A,5,0.2940,,N/A,5,0.7630,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HERRIN HOSPITAL,140011,IL,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.2350,,N/A,5,0.0000,,N/A,5,1.4970,,N/A,5,0.4720,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
KATHERINE SHAW BETHEA HOSPITAL,140012,IL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,0.5310,,N/A,5,0.3770,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
PROCTOR HOSPITAL,140013,IL,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.5340,,N/A,5,N/A,13,N/A,5,0.3050,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
BLESSING HOSPITAL,140015,IL,2023,N/A,5,N/A,5,N/A,N/A,1.5810,,N/A,5,0.3360,,N/A,5,0.7060,,N/A,5,0.5360,,N/A,5,1.2000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
MT SINAI HOSPITAL MEDICAL CENTER,140018,IL,2023,N/A,5,N/A,5,N/A,N/A,1.2590,,N/A,5,1.0160,,N/A,5,0.8450,,N/A,5,0.9640,,N/A,5,2.7400,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
HSHS GOOD SHEPHERD HOSPITAL,140019,IL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.0000,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
COPLEY MEMORIAL HOSPITAL,140029,IL,2023,N/A,5,N/A,5,N/A,N/A,1.1490,,N/A,5,0.3450,,N/A,5,0.6140,,N/A,5,0.5670,,N/A,5,0.3240,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ADVOCATE SHERMAN HOSPITAL,140030,IL,2023,N/A,5,N/A,5,N/A,N/A,0.1310,,N/A,5,0.5940,,N/A,5,0.4320,,N/A,5,0.7120,,N/A,5,0.0000,,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
ST ANTHONYS MEMORIAL HOSPITAL,140032,IL,2023,N/A,5,N/A,5,N/A,N/A,0.0000,,N/A,5,0.5550,,N/A,5,N/A,13,N/A,5,0.4660,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
SSM HEALTH ST MARY'S HOSPITAL -CENTRALIA,140034,IL,2023,N/A,5,N/A,5,N/A,N/A,N/A,13,N/A,5,N/A,13,N/A,5,N/A,13,N/A,5,0.5560,,N/A,5,N/A,13,N/A,5,01/01/2021,12/31/2021,0.0000,5,N/A,5
