"State","Measure ID","Measure Name","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Start Date","End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
GA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,106,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,39,0,40,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,40,2,40,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,4,76,3,27,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,55,0,47,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_CABG,Rate of readmission for CABG,1,17,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,90,0,40,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,83,1,43,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,55,0,32,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),5,113,2,12,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,107,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
GU,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,5,07/01/2018,06/30/2021,Not Available,Not Available,Not Available,Not Available
GU,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,5,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,5,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),Not Available,Not Available,Not Available,Not Available,5,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
GU,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,5,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,6,1,7
HI,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,9,2,2
HI,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,11,0,3
HI,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,10,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,9,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,9,0,5,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,10,0,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,7,0,7,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_CABG,Rate of readmission for CABG,0,2,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,7,0,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,12,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,6,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,12,1,6,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
HI,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,12,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,17,2,70
IA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,12,51,4,50
IA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,17,75,2,24
IA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,72,0,13,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,29,0,68,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,2,27,0,68,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,41,0,59,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,24,0,70,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_CABG,Rate of readmission for CABG,0,11,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,42,0,73,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,66,1,50,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,46,0,31,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,106,4,6,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,94,0,24,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,6,4,0,18
ID,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,13,0,19
ID,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,7,22,0,14
ID,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,23,0,8,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,13,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,12,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,20,0,11,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,10,0,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_CABG,Rate of readmission for CABG,0,5,0,0,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,15,0,25,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,20,1,19,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,26,0,7,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),0,34,5,4,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
ID,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,28,1,14,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,68,20,67
IL,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,13,102,39,26
IL,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,12,108,45,15
IL,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,139,4,18,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,8,62,0,71,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,67,2,71,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,0,111,3,43,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,1,91,0,67,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_CABG,Rate of readmission for CABG,0,42,0,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,146,0,33,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,10,142,2,26,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,2,101,0,36,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),19,151,2,6,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IL,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,3,162,0,15,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,35,14,53
IN,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,17,69,11,19
IN,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,23,67,13,13
IN,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,105,0,3,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,51,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,54,0,41,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,3,79,2,30,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,51,1,53,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_CABG,Rate of readmission for CABG,0,24,1,8,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,96,0,20,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,2,94,1,19,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,70,0,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,105,7,3,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
IN,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,1,102,0,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,7,16,1,68
KS,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,11,50,3,63
KS,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,16,70,6,38
KS,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,81,0,20,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,13,0,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,15,1,58,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,5,37,2,50,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,24,0,68,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_CABG,Rate of readmission for CABG,0,13,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,47,0,80,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,0,63,1,63,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,42,1,13,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),1,118,4,11,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KS,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,92,0,38,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,1,25,9,43
KY,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,52,16,23
KY,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,5,53,27,9
KY,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,75,0,7,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,30,0,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,32,1,29,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,52,0,22,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,35,0,43,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_CABG,Rate of readmission for CABG,0,14,0,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,76,0,17,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,3,68,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,40,0,18,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),10,79,1,2,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
KY,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,2,83,0,9,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,23,8,39
LA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,3,56,15,26
LA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,8,54,17,27
LA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,79,0,9,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,0,31,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,31,0,36,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,56,1,30,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,34,0,39,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_CABG,Rate of readmission for CABG,2,19,0,5,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,0,62,0,39,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,1,73,0,26,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,41,0,24,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),4,101,0,12,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
LA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,0,78,1,27,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,20,13,23
MA,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,30,24,2
MA,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,31,24,2
MA,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,53,2,0,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,2,36,0,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,1,35,2,16,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,1,49,4,2,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,0,33,0,23,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_CABG,Rate of readmission for CABG,0,12,0,1,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,1,54,0,4,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,6,50,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,0,51,1,3,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_HOSP_WIDE,Rate of readmission after discharge from hospital (hospital-wide),18,39,1,0,,07/01/2020,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MA,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,4,53,0,2,,07/01/2018,06/30/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,EDAC_30_AMI,Hospital return days for heart attack patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,0,23,8,15
MD,EDAC_30_HF,Hospital return days for heart failure patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,4,31,9,4
MD,EDAC_30_PN,Hospital return days for pneumonia patients,Not Applicable,Not Applicable,Not Applicable,Not Applicable,,07/01/2018,06/30/2021,2,28,14,3
MD,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",0,39,0,4,,01/01/2019,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,3,20,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,0,23,0,18,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
MD,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,2,41,0,1,,01/01/2021,12/31/2021,Not Applicable,Not Applicable,Not Applicable,Not Applicable
