"Facility Name","Facility ID","NPI","City","State","ZIP Code","Year","ASC-9 Rate","ASC-9 Footnote","ASC-11 Rate","ASC-11 Footnote","ASC-12 Total Cases","ASC-12 Performance Category","ASC-12 RSHV Rate","ASC-12 Interval Lower Limit","ASC-12 Interval Upper Limit","ASC-12 Footnote","ASC-13 Rate","ASC-13 Footnote","ASC-14 Rate","ASC-14 Footnote","ASC-17 Total Cases","ASC-17 Performance Category","ASC-17 RSHV Rate","ASC-17 Interval Lower Limit","ASC-17 Interval Upper Limit","ASC-17 Footnote","ASC-18 Total Cases","ASC-18 Performance Category","ASC-18 RSHV Rate","ASC-18 Interval Lower Limit","ASC-18 Interval Upper Limit","ASC-18 Footnote","ASC-20 Sample","ASC-20 Rate","ASC-20 Footnote"
LONG ISLAND DIGESTIVE ENDOSCOPY CENTER,33C0001143,1235551052,PORT JEFFERSON STATIO,NY,11776,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,67,100,
SKIN CANCER SPECIALISTS SURGERY CENTER LLC,11C0001437,1235559378,MARIETTA,GA,30060,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SKIN CANCER SPECIALISTS SURGERY CENTER LLC,11C0001437,1235559378,MARIETTA,GA,30060,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,37,100,
WENTWORTH SURGERY CENTER LLC,30C0001034,1235567264,SOMERSWORTH,NH,3878,2021,97.22,,N/A,5,347,No Different Than the National Rate,10.6,7.7,14.8,,88.4,,N/A,5,94,No Different Than the National Rate,2.4,1.5,3.7,,30,No Different Than the National Rate,5.1,3.1,8.3,,,N/A,5
WENTWORTH SURGERY CENTER LLC,30C0001034,1235567264,SOMERSWORTH,NH,3878,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,48,100,
REDLANDS MESA SURGERY CENTER LLC,06C0001147,1235568981,TOLEDO,OH,43617,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
REDLANDS MESA SURGERY CENTER LLC,06C0001147,1235568981,TOLEDO,OH,43617,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
ATHENS ORTHOPEDIC CLINIC AMBULATORY SURGERY CENTER LOGANVILLE LLC,11C0001477,1235677808,ATHENS,GA,30606,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,96.26,,N/A,5,113,No Different Than the National Rate,2.1,1.4,3.2,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
ATHENS ORTHOPEDIC CLINIC AMBULATORY SURGERY CENTER LOGANVILLE LLC,11C0001477,1235677808,ATHENS,GA,30606,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,68,92.2,
ASSOCIATED SURGICAL CENTER LLC,14C0001169,1235683798,ARLINGTON HEIGHTS,IL,60004,2021,N/A,5,N/A,5,179,No Different Than the National Rate,10.6,7.6,14.8,,98.18,,N/A,5,81,No Different Than the National Rate,2.3,1.5,3.4,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
ASSOCIATED SURGICAL CENTER LLC,14C0001169,1235683798,ARLINGTON HEIGHTS,IL,60004,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
BONE AND JOINT INSTITUTE OF TENNESSEE SURGERY CENTER LLC,44C0001199,1235695891,FRANKLIN,TN,37067,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.84,,N/A,5,644,No Different Than the National Rate,2.2,1.6,3.1,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
BONE AND JOINT INSTITUTE OF TENNESSEE SURGERY CENTER LLC,44C0001199,1235695891,FRANKLIN,TN,37067,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,80,76.1,
CENTRAL UTAH SURGICENTER LLC DBA CENTRAL UTAH SURGICAL CENTER,46C0001015,1235715996,PROVO,UT,84604,2021,100,,N/A,5,329,No Different Than the National Rate,10.4,7.4,14.5,,99.52,,0,,153,No Different Than the National Rate,2.4,1.6,3.6,,65,No Different Than the National Rate,5.5,3.6,8.4,,,N/A,5
CENTRAL UTAH SURGICENTER LLC DBA CENTRAL UTAH SURGICAL CENTER,46C0001015,1235715996,PROVO,UT,84604,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,281,79.2,
TEXAS HEALTH JOINT REPLACEMENT SURGERY CENTER,45C0001725,1235752643,FORT WORTH,TX,76132,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
TEXAS HEALTH JOINT REPLACEMENT SURGERY CENTER,45C0001725,1235752643,FORT WORTH,TX,76132,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,75,95.1,
INTEGRATED SURGICAL INSTITUTE,39C0001358,1235788878,LEESPORT,PA,19533,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,83.82,,N/A,5,200,No Different Than the National Rate,2.2,1.5,3.2,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
INTEGRATED SURGICAL INSTITUTE,39C0001358,1235788878,LEESPORT,PA,19533,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AUSTIN GI SURGICENTER LLC,45C0001688,1235797630,BEE CAVE,TX,78738,2021,100,,N/A,5,1215,No Different Than the National Rate,11,8.3,14.8,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AUSTIN GI SURGICENTER LLC,45C0001688,1235797630,BEE CAVE,TX,78738,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,148,92.4,
CDI TWIN CITIES ASC LLC,24C0001040,1245207687,SAINT LOUIS PARK,MN,55416,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CDI TWIN CITIES ASC LLC,24C0001040,1245207687,SAINT LOUIS PARK,MN,55416,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,31,100,
CDI TWIN CITIES ASC LLC,24C0001081,1245207687,WOODBURY,MN,55125,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CDI TWIN CITIES ASC LLC,24C0001081,1245207687,WOODBURY,MN,55125,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,31,100,
THE FOOT SURGERY CTR OF SHREVEPORT,19C0001026,1245215706,SHREVEPORT,LA,71118,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
THE FOOT SURGERY CTR OF SHREVEPORT,19C0001026,1245215706,SHREVEPORT,LA,71118,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SCRIPPS HEALTH,05C0001719,1245216928,SAN DIEGO,CA,92121,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98,,0.1,,453,No Different Than the National Rate,1.8,1.2,2.6,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
SCRIPPS HEALTH,05C0001719,1245216928,SAN DIEGO,CA,92121,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,93,100,
QUAD CITY ENDOSCOPY LLC,14C0001046,1245218411,MOLINE,IL,61265,2021,N/A,1,N/A,5,33,No Different Than the National Rate,10.8,7.7,15,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
QUAD CITY ENDOSCOPY LLC,14C0001046,1245218411,MOLINE,IL,61265,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,47,76.6,
NORTHRIDGE SURGERY CENTER,44C0001008,1245233220,MADISON,TN,37115,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.24,,91,No Different Than the National Rate,2.2,1.4,3.3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTHRIDGE SURGERY CENTER,44C0001008,1245233220,MADISON,TN,37115,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,129,74.7,
SURGICAL SPECIALTY CENTER,39C0001112,1245233410,FORTY FORT,PA,18704,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.64,,62,No Different Than the National Rate,2,1.3,3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SURGICAL SPECIALTY CENTER,39C0001112,1245233410,FORTY FORT,PA,18704,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,73,100,
MUSCULOSKELETAL SURGERY CENTER OF COLORADO,06C0001068,1245239268,THORNTON,CO,80229,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MUSCULOSKELETAL SURGERY CENTER OF COLORADO,06C0001068,1245239268,THORNTON,CO,80229,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,161,89.5,
SURGERY CENTER OF GILBERT,03C0001253,1245239656,MESA,AZ,85206,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,95.03,,0.26,,131,No Different Than the National Rate,2.1,1.4,3.2,,346,No Different Than the National Rate,5.2,3.7,7.2,,,N/A,5
SURGERY CENTER OF GILBERT,03C0001253,1245239656,MESA,AZ,85206,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,64,61.2,
GAINESVILLE UROLOGY ASC LLC,11C0001226,1245241694,GAINESVILLE,GA,30501,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,98.61,,N/A,5,N/A,N/A,N/A,N/A,N/A,5,712,No Different Than the National Rate,3.6,2.5,5,,,N/A,5
GAINESVILLE UROLOGY ASC LLC,11C0001226,1245241694,GAINESVILLE,GA,30501,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,15,53.3,
FCG LLC DBA RHAWN ST ENDOSCOPY CENTER,39C0001223,1245253533,PHILADELPHIA,PA,19111,2021,N/A,5,N/A,5,329,No Different Than the National Rate,10.5,7.5,14.6,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
FCG LLC DBA RHAWN ST ENDOSCOPY CENTER,39C0001223,1245253533,PHILADELPHIA,PA,19111,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CHATTANOOGA PAIN MANAGEMENT CENTER LLC DBA CHATTANOOGA PAIN SURGERY CENTER,44C0001155,1245263292,HIXSON,TN,37343,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,43,No Different Than the National Rate,2.5,1.7,3.8,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CHATTANOOGA PAIN MANAGEMENT CENTER LLC DBA CHATTANOOGA PAIN SURGERY CENTER,44C0001155,1245263292,HIXSON,TN,37343,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,48,67.1,
ABILENE SPINE AND JOINT SURGERY CENTER PA,45C0001261,1245266790,ABILENE,TX,79606,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
ABILENE SPINE AND JOINT SURGERY CENTER PA,45C0001261,1245266790,ABILENE,TX,79606,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTHERN CRESCENT ENDOSCOPY SUITE PC,11C0001082,1245276195,STOCKBRIDGE,GA,30281,2021,93.28,,N/A,5,1272,No Different Than the National Rate,9.9,7.4,13.2,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
SOUTHERN CRESCENT ENDOSCOPY SUITE PC,11C0001082,1245276195,STOCKBRIDGE,GA,30281,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,30,100,
AMBULATORY SURGERY CENTER OF STOCKTON,05C0001508,1245285857,STOCKTON,CA,95204,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
AMBULATORY SURGERY CENTER OF STOCKTON,05C0001508,1245285857,STOCKTON,CA,95204,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,64,99.4,
SURICAL CENTER OF GREENSBORO LLC,34C0001008,1245288257,GREENSBORO,NC,27408,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,0.11,,604,No Different Than the National Rate,1.6,1.1,2.3,,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
SURICAL CENTER OF GREENSBORO LLC,34C0001008,1245288257,GREENSBORO,NC,27408,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,320,59.5,
ELLIOT 1 DAY SURGERY CENTER,30C0001002,1245291350,MANCHESTER,NH,3101,2021,97.9,,N/A,5,476,No Different Than the National Rate,10.8,7.8,15.1,,99.63,,0,,162,No Different Than the National Rate,2.5,1.6,3.7,,41,No Different Than the National Rate,4.9,3,7.9,,,N/A,5
ELLIOT 1 DAY SURGERY CENTER,30C0001002,1245291350,MANCHESTER,NH,3101,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,304,97.8,
WOODLAND SURGERY CENTER LLC,52C0001048,1245297662,APPLETON,WI,54913,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,227,No Different Than the National Rate,2,1.3,3,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
WOODLAND SURGERY CENTER LLC,52C0001048,1245297662,APPLETON,WI,54913,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,13,70,
THE SURGICAL PAVILION LLC,04C0001043,1245297829,LITTLE ROCK,AR,72205,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,88.89,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
THE SURGICAL PAVILION LLC,04C0001043,1245297829,LITTLE ROCK,AR,72205,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99,84.5,
THE SURGERY CENTER OF ALTA BATES SUMMIT MEDICAL CENTER LLC,55C0001028,1245327493,OAKLAND,CA,94609,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,99.66,,N/A,5,493,No Different Than the National Rate,1.8,1.2,2.6,,170,No Different Than the National Rate,5.5,3.7,8,,,N/A,5
THE SURGERY CENTER OF ALTA BATES SUMMIT MEDICAL CENTER LLC,55C0001028,1245327493,OAKLAND,CA,94609,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,180,94.3,
BERSTEIN HILLIKER HARTZELL EYE CENTER LLP DBA THE SURGERY CENTER OF CENTRAL PA,39C0001174,1245331628,ALLENWOOD,PA,17810,2021,100,,N/A,5,33,No Different Than the National Rate,10.5,7.4,14.8,,100,,0.64,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
BERSTEIN HILLIKER HARTZELL EYE CENTER LLP DBA THE SURGERY CENTER OF CENTRAL PA,39C0001174,1245331628,ALLENWOOD,PA,17810,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,29,85.3,
MOUNTAIN EMPIRE CATARACT AND EYE SURGERY CENTER,44C0001129,1245340603,BRISTOL,TN,37620,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.07,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MOUNTAIN EMPIRE CATARACT AND EYE SURGERY CENTER,44C0001129,1245340603,BRISTOL,TN,37620,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
WICHITA ENDOSCOPY CENTER LLC,17C0001072,1245343912,WICHITA,KS,67226,2021,100,,N/A,5,480,No Different Than the National Rate,11.9,8.6,16.3,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
WICHITA ENDOSCOPY CENTER LLC,17C0001072,1245343912,WICHITA,KS,67226,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,8,N/A,1
KAISER PERMANENTE SURGERY CTR,06C0001028,1245344407,DENVER,CO,80205,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,7,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,,N/A,5
KAISER PERMANENTE SURGERY CTR,06C0001028,1245344407,DENVER,CO,80205,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
LOUISVILLE SURGERY CENTER,18C0001039,1245346923,LOUISVILLE,KY,40202,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,404,No Different Than the National Rate,4.9,3.5,7.1,,,N/A,5
LOUISVILLE SURGERY CENTER,18C0001039,1245346923,LOUISVILLE,KY,40202,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,68,100,
GASTROINTESTINAL ASSOCIATES ENDOSCOPY CENTER LLC,25C0001033,1245352327,FLOWOOD,MS,39232,2021,92.31,,N/A,5,7590,No Different Than the National Rate,10.8,9,13,,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
GASTROINTESTINAL ASSOCIATES ENDOSCOPY CENTER LLC,25C0001033,1245352327,FLOWOOD,MS,39232,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,88,95.5,
NEWPORT BAY SURGERY CENTER,05C0001826,1245372531,NEWPORT BEACH,CA,92663,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.26,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NEWPORT BAY SURGERY CENTER,05C0001826,1245372531,NEWPORT BEACH,CA,92663,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,38,100,
KUMAR SURGICAL CENTER,23C0001064,1245399757,ROCHESTER HILLS,MI,48309,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,130,No Different Than the National Rate,5.4,3.5,8.2,,,N/A,5
KUMAR SURGICAL CENTER,23C0001064,1245399757,ROCHESTER HILLS,MI,48309,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,14,71.4,
EASTERN MASSACHUSETTS SURGERY CENTER LLC,22C0001070,1245436823,NORWOOD,MA,2062,2021,91.53,,N/A,5,709,No Different Than the National Rate,9.6,7,12.9,,100,,N/A,5,100,No Different Than the National Rate,1.9,1.2,3,,242,No Different Than the National Rate,5.3,3.7,7.4,,,N/A,5
EASTERN MASSACHUSETTS SURGERY CENTER LLC,22C0001070,1245436823,NORWOOD,MA,2062,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,124,91.1,
MDSINE LLC,22C0001068,1245450295,SPRINGFIELD,MA,1104,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,1,0.23,,30,No Different Than the National Rate,2,1.3,3.2,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
MDSINE LLC,22C0001068,1245450295,SPRINGFIELD,MA,1104,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,63,100,
PACIFIC CATARACT AND LASER INSTITUTE INC PC,38C0001092,1245471788,PORTLAND,OR,97209,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,0.11,,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
PACIFIC CATARACT AND LASER INSTITUTE INC PC,38C0001092,1245471788,PORTLAND,OR,97209,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,26,79.9,
NORTHWEST AMBULATORY SURGERY CENTER LLC,38C0001067,1245482280,PORTLAND,OR,97209,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,100,,N/A,5,239,No Different Than the National Rate,2.3,1.6,3.4,,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
NORTHWEST AMBULATORY SURGERY CENTER LLC,38C0001067,1245482280,PORTLAND,OR,97209,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,118,95.8,
CAPITOL SURGICAL CENTER LLC,21C0001399,1245529189,BETHESDA,MD,20817,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,Number of Cases Too Small,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
CAPITOL SURGICAL CENTER LLC,21C0001399,1245529189,BETHESDA,MD,20817,2022_Q1,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,13,100,
CHESTERFIELD ASC LLC,26C0001143,1245566744,CHESTERFIELD,MO,63017,2021,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,5,N/A,5,N/A,N/A,N/A,N/A,N/A,5,N/A,N/A,N/A,N/A,N/A,5,,N/A,5
