"Facility ID","Facility Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Hospital overall rating","Hospital overall rating footnote"
49011F,SALEM VA MEDICAL CENTER,1970 ROANOKE BOULEVARD,SALEM,VA,24153,SALEM CITY,(540) 982-2463,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
50011F,SPOKANE VA MEDICAL CENTER,4815 N. ASSEMBLY STREET,SPOKANE,WA,99205,SPOKANE,(509) 434-7000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
50030F,SEATTLE VA MEDICAL CENTER (VA PUGET SOUND HEALTHCARE SYSTEM),1660 S. COLUMBIAN WAY,SEATTLE,WA,98108,KING,(206) 764-2299,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
51002F,BECKLEY VA MEDICAL CENTER,200 VETERANS AVENUE,BECKLEY,WV,25801,RALEIGH,(304) 255-2121,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
51003F,CLARKSBURG VA MEDICAL CENTER,1 MEDICAL CENTER DRIVE,CLARKSBURG,WV,26301,HARRISON,(304) 623-3461,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
51004F,HUNTINGTON VA MEDICAL CENTER,1540 SPRING VALLEY ROAD,HUNTINGTON,WV,25704,WAYNE,(304) 429-0241,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
51005F,MARTINSBURG VA MEDICAL CENTER,510 BUTLER AVE.,MARTINSBURG,WV,25405,BERKELEY,(304) 263-0811,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
52002F,TOMAH VA MEDICAL CENTER,500 EAST VETERANS STREET,TOMAH,WI,54660,MONROE,(608) 372-3971,Acute Care - Veterans Administration,Veterans Health Administration,No,Not Available,22
52003F,MILWAUKEE VA MEDICAL CENTER,5000 W. NATIONAL AVENUE,MILWAUKEE,WI,53295,MILWAUKEE,(414) 384-2000,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
52004F,MADISON VA MEDICAL CENTER,2500 OVERLOOK TERRACE,MADISON,WI,53705,DANE,(608) 256-1901,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
53004F,CHEYENNE VA MEDICAL CENTER,2360 E. PERSHING BLVD.,CHEYENNE,WY,82001,LARAMIE,(307) 778-7300,Acute Care - Veterans Administration,Veterans Health Administration,Yes,Not Available,22
53005F,SHERIDAN VA MEDICAL CENTER,1898 FORT ROAD,SHERIDAN,WY,82801,SHERIDAN,(307) 672-1675,Acute Care - Veterans Administration,Veterans Health Administration,No,Not Available,22
